gene_id,gene_name,gene_type,chr,X1kb_up_tss_start,strand,number_of_dbp
ENSG00000070950.10,RAD18,protein_coding,chr3,8962774,-,1
ENSG00000196220.16,SRGAP3,protein_coding,chr3,9362054,-,2
ENSG00000224808.1,SRGAP3-AS1,lncRNA,chr3,9013123,+,1
ENSG00000287623.1,AC037193.1,lncRNA,chr3,9099803,+,0
ENSG00000228723.6,SRGAP3-AS2,lncRNA,chr3,9191493,+,0
ENSG00000227929.4,SRGAP3-AS3,lncRNA,chr3,9215895,+,0
ENSG00000235830.2,SRGAP3-AS4,lncRNA,chr3,9248742,+,1
ENSG00000254485.5,AC026191.1,lncRNA,chr3,9362304,-,2
ENSG00000206573.9,THUMPD3-AS1,lncRNA,chr3,9397580,-,2
ENSG00000134077.16,THUMPD3,protein_coding,chr3,9361971,+,6
ENSG00000168137.16,SETD5,protein_coding,chr3,9396615,+,6
ENSG00000156959.9,LHFPL4,protein_coding,chr3,9552823,-,0
ENSG00000163719.19,MTMR14,protein_coding,chr3,9648433,+,6
ENSG00000287878.1,AC022382.2,lncRNA,chr3,9720400,-,0
ENSG00000144550.13,CPNE9,protein_coding,chr3,9702826,+,1
ENSG00000156983.16,BRPF1,protein_coding,chr3,9730729,+,6
ENSG00000114026.21,OGG1,protein_coding,chr3,9748944,+,6
ENSG00000134072.11,CAMK1,protein_coding,chr3,9768993,-,0
ENSG00000171148.13,TADA3,protein_coding,chr3,9792012,-,2
ENSG00000241553.12,ARPC4,protein_coding,chr3,9791495,+,6
ENSG00000250151.9,ARPC4-TTLL3,protein_coding,chr3,9792082,+,6
ENSG00000214021.16,TTLL3,protein_coding,chr3,9807086,+,2
ENSG00000269886.1,AC022382.1,lncRNA,chr3,9812098,-,0
ENSG00000156990.14,RPUSD3,protein_coding,chr3,9843603,-,1
ENSG00000187288.10,CIDEC,protein_coding,chr3,9879255,-,0
ENSG00000171135.15,JAGN1,protein_coding,chr3,9889574,+,5
ENSG00000163701.19,IL17RE,protein_coding,chr3,9901612,+,3
ENSG00000163702.20,IL17RC,protein_coding,chr3,9916074,+,4
ENSG00000163703.17,CRELD1,protein_coding,chr3,9932822,+,7
ENSG00000269894.1,AC018809.1,lncRNA,chr3,9934706,+,0
ENSG00000163704.12,PRRT3,protein_coding,chr3,9951409,-,0
ENSG00000230082.1,PRRT3-AS1,lncRNA,chr3,9946404,+,6
ENSG00000269982.1,AC018809.2,lncRNA,chr3,9957717,+,0
ENSG00000125037.12,EMC3,protein_coding,chr3,10010117,-,0
ENSG00000206567.10,AC022007.1,lncRNA,chr3,10010210,-,0
ENSG00000144554.10,FANCD2,protein_coding,chr3,10025414,+,6
ENSG00000163705.13,FANCD2OS,protein_coding,chr3,10107256,-,0
ENSG00000254999.4,BRK1,protein_coding,chr3,10114675,+,5
ENSG00000134086.7,VHL,protein_coding,chr3,10140008,+,6
ENSG00000287086.1,AC034193.1,lncRNA,chr3,10152327,-,0
ENSG00000134070.5,IRAK2,protein_coding,chr3,10163919,+,5
ENSG00000157014.11,TATDN2,protein_coding,chr3,10247023,+,4
ENSG00000272410.5,AC022384.1,protein_coding,chr3,10248372,+,4
ENSG00000231177.4,LINC00852,lncRNA,chr3,10283419,+,0
ENSG00000157017.16,GHRL,protein_coding,chr3,10291948,-,1
ENSG00000240288.8,GHRLOS,lncRNA,chr3,10284754,+,0
ENSG00000157020.18,SEC13,protein_coding,chr3,10320113,-,2
ENSG00000157087.20,ATP2B2,protein_coding,chr3,10707008,-,0
ENSG00000236999.1,ATP2B2-IT1,lncRNA,chr3,10569376,-,0
ENSG00000224771.2,ATP2B2-IT2,lncRNA,chr3,10628308,-,0
ENSG00000226567.2,LINC00606,lncRNA,chr3,10763210,-,0
ENSG00000230599.2,AC018495.1,lncRNA,chr3,10766464,+,0
ENSG00000132164.10,SLC6A11,protein_coding,chr3,10815201,+,1
ENSG00000286962.1,AC027128.1,lncRNA,chr3,10976982,-,0
ENSG00000157103.12,SLC6A1,protein_coding,chr3,10991186,+,1
ENSG00000232287.2,SLC6A1-AS1,lncRNA,chr3,11018225,-,0
ENSG00000287964.1,AC066580.1,lncRNA,chr3,11059973,+,2
ENSG00000196639.6,HRH1,protein_coding,chr3,11136093,+,0
ENSG00000285906.2,AC083855.2,lncRNA,chr3,11224878,-,0
ENSG00000197548.12,ATG7,protein_coding,chr3,11271309,+,4
ENSG00000144560.15,VGLL4,protein_coding,chr3,11770351,-,0
ENSG00000271716.1,AC022001.2,lncRNA,chr3,11606184,+,2
ENSG00000272483.1,AC022001.3,lncRNA,chr3,11610602,+,1
ENSG00000144559.10,TAMM41,protein_coding,chr3,11845920,-,0
ENSG00000157152.17,SYN2,protein_coding,chr3,12003388,+,0
ENSG00000157150.5,TIMP4,protein_coding,chr3,12157913,-,0
ENSG00000132170.21,PPARG,protein_coding,chr3,12286368,+,1
ENSG00000154743.18,TSEN2,protein_coding,chr3,12483432,+,4
ENSG00000225526.4,MKRN2OS,protein_coding,chr3,12560060,-,0
ENSG00000075975.16,MKRN2,protein_coding,chr3,12556087,+,6
ENSG00000132155.11,RAF1,protein_coding,chr3,12663227,-,2
ENSG00000088726.16,TMEM40,protein_coding,chr3,12768458,-,0
ENSG00000144712.12,CAND2,protein_coding,chr3,12795472,+,0
ENSG00000272263.1,AC034198.2,lncRNA,chr3,12831729,-,0
ENSG00000144713.13,RPL32,protein_coding,chr3,12840583,-,2
ENSG00000232746.1,LINC02022,lncRNA,chr3,12884212,-,0
ENSG00000144711.16,IQSEC1,protein_coding,chr3,13282282,-,1
ENSG00000132182.12,NUP210,protein_coding,chr3,13419323,-,2
ENSG00000244502.2,HDAC11-AS1,lncRNA,chr3,13479054,-,1
ENSG00000163517.15,HDAC11,protein_coding,chr3,13478724,+,4
ENSG00000163520.14,FBLN2,protein_coding,chr3,13548125,+,0
ENSG00000224514.3,LINC00620,lncRNA,chr3,13649696,+,4
ENSG00000154764.6,WNT7A,protein_coding,chr3,13879072,-,1
ENSG00000287059.1,AC090004.2,lncRNA,chr3,14046182,-,0
ENSG00000163528.13,CHCHD4,protein_coding,chr3,14123871,-,2
ENSG00000170876.7,TMEM43,protein_coding,chr3,14123940,+,6
ENSG00000268279.4,AC090004.1,protein_coding,chr3,14134217,+,0
ENSG00000228242.6,AC093495.1,lncRNA,chr3,14143637,+,2
ENSG00000154767.14,XPC,protein_coding,chr3,14177784,-,2
ENSG00000170860.4,LSM3,protein_coding,chr3,14177817,+,6
ENSG00000255021.1,AC093496.1,lncRNA,chr3,14302846,-,0
ENSG00000251576.1,LINC01267,lncRNA,chr3,14351569,-,0
ENSG00000131389.17,SLC6A6,protein_coding,chr3,14401576,+,4
ENSG00000144596.13,GRIP2,protein_coding,chr3,14555076,-,0
ENSG00000283392.1,AC090952.2,lncRNA,chr3,14601035,+,2
ENSG00000235629.1,AC090952.1,lncRNA,chr3,14648433,-,0
ENSG00000154781.16,CCDC174,protein_coding,chr3,14650746,+,6
ENSG00000131379.10,C3orf20,protein_coding,chr3,14674141,+,0
ENSG00000230172.1,AC090957.1,lncRNA,chr3,14766441,-,0
ENSG00000285969.1,AC087591.1,lncRNA,chr3,14790534,+,2
ENSG00000260902.1,LINC02011,lncRNA,chr3,14810415,-,0
ENSG00000154783.12,FGD5,protein_coding,chr3,14809853,+,0
ENSG00000225733.6,FGD5-AS1,lncRNA,chr3,14947425,-,2
ENSG00000177463.15,NR2C2,protein_coding,chr3,14946584,+,7
ENSG00000131368.8,MRPS25,protein_coding,chr3,15064318,-,2
ENSG00000131381.12,RBSN,protein_coding,chr3,15098164,-,2
ENSG00000131375.10,CAPN7,protein_coding,chr3,15205152,+,0
ENSG00000224660.2,SH3BP5-AS1,lncRNA,chr3,15253184,+,0
ENSG00000131370.16,SH3BP5,protein_coding,chr3,15340369,-,0
ENSG00000206562.11,METTL6,protein_coding,chr3,15439567,-,0
ENSG00000144597.14,EAF1,protein_coding,chr3,15426598,+,5
ENSG00000249786.7,EAF1-AS1,lncRNA,chr3,15454941,-,0
ENSG00000206561.13,COLQ,protein_coding,chr3,15520752,-,0
ENSG00000288077.1,AC027129.1,lncRNA,chr3,15500439,+,0
ENSG00000131373.15,HACL1,protein_coding,chr3,15600853,-,0
ENSG00000169814.14,BTD,protein_coding,chr3,15600341,+,0
ENSG00000206560.11,ANKRD28,protein_coding,chr3,15858772,-,2
ENSG00000287042.1,AC090945.1,lncRNA,chr3,15859158,+,6
ENSG00000286689.1,AC090946.1,lncRNA,chr3,15969003,+,1
ENSG00000131386.19,GALNT15,protein_coding,chr3,16173680,+,1
ENSG00000285654.1,AC090953.2,lncRNA,chr3,16252131,-,0
ENSG00000154813.10,DPH3,protein_coding,chr3,16263970,-,1
ENSG00000154814.14,OXNAD1,protein_coding,chr3,16264160,+,5
ENSG00000131378.14,RFTN1,protein_coding,chr3,16513027,-,0
ENSG00000271964.1,AC090948.1,lncRNA,chr3,16313439,+,0
ENSG00000272498.1,AC090948.2,lncRNA,chr3,16338308,+,0
ENSG00000272529.1,AC090948.3,lncRNA,chr3,16344126,+,0
ENSG00000287377.1,AC090948.4,lncRNA,chr3,16360348,+,0
ENSG00000288050.1,AC010727.1,lncRNA,chr3,16443540,+,0
ENSG00000233570.2,LINC00690,lncRNA,chr3,16523771,+,0
ENSG00000269391.2,AC010139.1,lncRNA,chr3,16523800,+,0
ENSG00000092345.13,DAZL,protein_coding,chr3,16669307,-,0
ENSG00000229271.1,AC091493.1,lncRNA,chr3,16696480,-,0
ENSG00000154822.18,PLCL2,protein_coding,chr3,16801651,+,0
ENSG00000226441.2,PLCL2-AS1,lncRNA,chr3,17043193,-,0
ENSG00000285731.1,AC090644.1,lncRNA,chr3,17140015,+,1
ENSG00000131374.14,TBC1D5,protein_coding,chr3,18443818,-,0
ENSG00000286352.1,AC104451.2,lncRNA,chr3,17741952,+,6
ENSG00000226238.1,AC132807.1,lncRNA,chr3,17989023,+,0
ENSG00000274840.4,AC132807.2,lncRNA,chr3,18012226,+,0
ENSG00000182568.17,SATB1,protein_coding,chr3,18444589,-,0
ENSG00000272477.1,AC144521.1,lncRNA,chr3,18408636,-,0
ENSG00000228956.8,SATB1-AS1,lncRNA,chr3,18444024,+,2
ENSG00000183960.9,KCNH8,protein_coding,chr3,19147510,+,0
ENSG00000287069.1,AC061958.1,lncRNA,chr3,19701796,-,0
ENSG00000163576.18,EFHB,protein_coding,chr3,19946026,-,2
ENSG00000144566.11,RAB5A,protein_coding,chr3,19946097,+,6
ENSG00000183977.14,PP2D1,protein_coding,chr3,20011268,-,0
ENSG00000114166.8,KAT2B,protein_coding,chr3,20039446,+,4
ENSG00000129810.15,SGO1,protein_coding,chr3,20185207,-,2
ENSG00000231304.2,SGO1-AS1,lncRNA,chr3,20173244,+,0
ENSG00000261734.1,AC116096.1,lncRNA,chr3,20387249,+,0
ENSG00000282987.1,AC099753.1,lncRNA,chr3,21225306,-,0
ENSG00000151789.12,ZNF385D,protein_coding,chr3,22372322,-,0
ENSG00000225542.2,ZNF385D-AS1,lncRNA,chr3,21541789,+,0
ENSG00000223351.5,ZNF385D-AS2,lncRNA,chr3,21941566,+,0
ENSG00000233153.6,UBE2E2-AS1,lncRNA,chr3,23201704,-,1
ENSG00000182247.10,UBE2E2,protein_coding,chr3,23202020,+,2
ENSG00000223791.1,UBE2E1-AS1,lncRNA,chr3,23805906,-,1
ENSG00000170142.12,UBE2E1,protein_coding,chr3,23804955,+,3
ENSG00000197885.10,NKIRAS1,protein_coding,chr3,23945592,-,1
ENSG00000174748.21,RPL15,protein_coding,chr3,23915545,+,6
ENSG00000174738.13,NR1D2,protein_coding,chr3,23944286,+,5
ENSG00000224074.3,LINC00691,lncRNA,chr3,24102239,-,0
ENSG00000151090.19,THRB,protein_coding,chr3,24494757,-,1
ENSG00000224822.1,THRB-IT1,lncRNA,chr3,24458435,-,0
ENSG00000228791.8,THRB-AS1,lncRNA,chr3,24493087,+,5
ENSG00000272554.1,AC012087.2,lncRNA,chr3,24498581,-,0
ENSG00000237838.1,AC092422.1,lncRNA,chr3,24686919,+,0
ENSG00000077092.19,RARB,protein_coding,chr3,25173332,+,0
ENSG00000077097.15,TOP2B,protein_coding,chr3,25663908,-,1
ENSG00000151092.17,NGLY1,protein_coding,chr3,25789040,-,0
ENSG00000151093.8,OXSM,protein_coding,chr3,25781917,+,4
ENSG00000230891.7,LINC00692,lncRNA,chr3,25872749,-,0
ENSG00000225386.2,AC099754.1,lncRNA,chr3,26621944,-,0
ENSG00000179796.12,LRRC3B,protein_coding,chr3,26621806,+,0
ENSG00000163491.16,NEK10,protein_coding,chr3,27368461,-,0
ENSG00000287348.1,AC099535.2,lncRNA,chr3,27368568,+,3
ENSG00000033867.16,SLC4A7,protein_coding,chr3,27483421,-,1
ENSG00000272282.1,LINC02084,lncRNA,chr3,27711910,+,2
ENSG00000163508.13,EOMES,protein_coding,chr3,27721712,-,1
ENSG00000225548.7,LINC01980,lncRNA,chr3,27796552,+,0
ENSG00000229243.2,LINC01981,lncRNA,chr3,27833137,-,0
ENSG00000235493.2,LINC01967,lncRNA,chr3,28058269,-,0
ENSG00000187118.14,CMC1,protein_coding,chr3,28240584,+,5
ENSG00000163512.14,AZI2,protein_coding,chr3,28348051,-,2
ENSG00000206559.8,ZCWPW2,protein_coding,chr3,28347721,+,6
ENSG00000283563.1,AC098650.1,protein_coding,chr3,28348178,+,6
ENSG00000144642.22,RBMS3,protein_coding,chr3,28573791,+,0
ENSG00000235904.3,RBMS3-AS3,lncRNA,chr3,29289727,-,0
ENSG00000203506.5,RBMS3-AS2,lncRNA,chr3,29641810,-,0
ENSG00000235593.1,RBMS3-AS1,lncRNA,chr3,29933157,-,0
ENSG00000287774.1,AC025614.2,lncRNA,chr3,30291548,+,1
ENSG00000227260.2,LINC01985,lncRNA,chr3,30517833,+,3
ENSG00000227549.2,AC116035.1,lncRNA,chr3,30525255,-,0
ENSG00000163513.18,TGFBR2,protein_coding,chr3,30605502,+,5
ENSG00000261468.1,AC096921.2,lncRNA,chr3,30696661,+,0
ENSG00000144644.14,GADL1,protein_coding,chr3,30893766,-,0
ENSG00000163527.10,STT3B,protein_coding,chr3,31531638,+,6
ENSG00000144645.14,OSBPL10,protein_coding,chr3,32076581,-,0
ENSG00000232490.6,OSBPL10-AS1,lncRNA,chr3,31703058,+,0
ENSG00000197385.6,ZNF860,protein_coding,chr3,31980750,+,6
ENSG00000152642.10,GPD1L,protein_coding,chr3,32104689,+,5
ENSG00000261572.1,AC097639.1,lncRNA,chr3,32237579,-,1
ENSG00000170293.9,CMTM8,protein_coding,chr3,32237679,+,5
ENSG00000153551.14,CMTM7,protein_coding,chr3,32390698,+,5
ENSG00000091317.8,CMTM6,protein_coding,chr3,32501853,-,2
ENSG00000144635.9,DYNC1LI1,protein_coding,chr3,32569859,-,2
ENSG00000182973.18,CNOT10,protein_coding,chr3,32684145,+,6
ENSG00000251224.1,CNOT10-AS1,lncRNA,chr3,32736455,-,0
ENSG00000206557.6,TRIM71,protein_coding,chr3,32816997,+,6
ENSG00000183813.7,CCR4,protein_coding,chr3,32950644,+,0
ENSG00000170266.16,GLB1,protein_coding,chr3,33096203,-,0
ENSG00000188167.9,TMPPE,protein_coding,chr3,33096147,-,0
ENSG00000170275.14,CRTAP,protein_coding,chr3,33112979,+,5
ENSG00000272149.1,AC112211.1,lncRNA,chr3,33146722,-,0
ENSG00000173705.9,SUSD5,protein_coding,chr3,33217811,-,0
ENSG00000153558.16,FBXL2,protein_coding,chr3,33276025,+,1
ENSG00000153560.12,UBP1,protein_coding,chr3,33440372,-,3
ENSG00000163539.17,CLASP2,protein_coding,chr3,33717357,-,1
ENSG00000271643.2,AC112220.2,lncRNA,chr3,33797540,-,2
ENSG00000170248.15,PDCD6IP,protein_coding,chr3,33797571,+,6
ENSG00000226320.6,LINC01811,lncRNA,chr3,33955972,+,0
ENSG00000287981.1,AC123023.2,lncRNA,chr3,34151979,+,0
ENSG00000236452.1,AC123023.1,lncRNA,chr3,34202244,+,0
ENSG00000227498.2,AC018359.1,lncRNA,chr3,34542881,-,0
ENSG00000287641.1,AC007483.1,lncRNA,chr3,34691820,+,0
ENSG00000172995.16,ARPP21,protein_coding,chr3,35637945,+,0
ENSG00000230830.1,ARPP21-AS1,lncRNA,chr3,35650962,-,0
ENSG00000144681.10,STAC,protein_coding,chr3,36379344,+,0
ENSG00000163673.7,DCLK3,protein_coding,chr3,36763350,-,0
ENSG00000279727.1,LINC02033,lncRNA,chr3,36821499,-,0
ENSG00000168016.14,TRANK1,protein_coding,chr3,36944099,-,0
ENSG00000272334.1,AC011816.2,lncRNA,chr3,36972673,-,0
ENSG00000178567.8,EPM2AIP1,protein_coding,chr3,36992132,-,0
ENSG00000076242.14,MLH1,protein_coding,chr3,36992332,+,0
ENSG00000093167.18,LRRFIP2,protein_coding,chr3,37182690,-,0
ENSG00000271993.1,AC126118.1,lncRNA,chr3,37181107,+,0
ENSG00000271653.1,AC097359.3,lncRNA,chr3,37215779,+,4
ENSG00000270194.1,AC097359.2,lncRNA,chr3,37243178,-,2
ENSG00000144674.16,GOLGA4,protein_coding,chr3,37242177,+,6
ENSG00000198590.12,C3orf35,lncRNA,chr3,37380062,+,0
ENSG00000144668.12,ITGA9,protein_coding,chr3,37451115,+,2
ENSG00000235257.9,ITGA9-AS1,lncRNA,chr3,37860803,-,1
ENSG00000144677.15,CTDSPL,protein_coding,chr3,37860880,+,4
ENSG00000136059.14,VILL,protein_coding,chr3,37987059,+,4
ENSG00000187091.13,PLCD1,protein_coding,chr3,38028763,-,0
ENSG00000008226.20,DLEC1,protein_coding,chr3,38038205,+,1
ENSG00000060971.18,ACAA1,protein_coding,chr3,38136243,-,2
ENSG00000172936.14,MYD88,protein_coding,chr3,38137478,+,6
ENSG00000172939.9,OXSR1,protein_coding,chr3,38164089,+,6
ENSG00000172940.13,SLC22A13,protein_coding,chr3,38264812,+,0
ENSG00000144671.10,SLC22A14,protein_coding,chr3,38281294,+,3
ENSG00000093217.11,XYLB,protein_coding,chr3,38345760,+,6
ENSG00000229589.1,ACVR2B-AS1,lncRNA,chr3,38453821,-,2
ENSG00000114739.14,ACVR2B,protein_coding,chr3,38452890,+,5
ENSG00000157036.13,EXOG,protein_coding,chr3,38495127,+,6
ENSG00000183873.15,SCN5A,protein_coding,chr3,38648674,-,0
ENSG00000185313.8,SCN10A,protein_coding,chr3,38815287,-,0
ENSG00000231243.1,AC116038.1,lncRNA,chr3,38822902,+,0
ENSG00000168356.12,SCN11A,protein_coding,chr3,39050942,-,1
ENSG00000114742.14,WDR48,protein_coding,chr3,39051013,+,4
ENSG00000114745.13,GORASP1,protein_coding,chr3,39107364,-,2
ENSG00000168026.18,TTC21A,protein_coding,chr3,39106704,+,6
ENSG00000144655.15,CSRNP1,protein_coding,chr3,39153563,-,0
ENSG00000284669.1,AC092053.3,lncRNA,chr3,39147281,+,0
ENSG00000283849.1,AC092053.2,lncRNA,chr3,39151906,+,4
ENSG00000287620.1,AC092053.4,lncRNA,chr3,39176761,+,3
ENSG00000168334.9,XIRP1,protein_coding,chr3,39191597,-,0
ENSG00000287995.1,AC092053.6,lncRNA,chr3,39215586,-,0
ENSG00000287958.1,AC092053.5,lncRNA,chr3,39257194,+,0
ENSG00000168329.13,CX3CR1,protein_coding,chr3,39280736,-,0
ENSG00000287780.1,AC104850.2,lncRNA,chr3,39383301,-,0
ENSG00000179934.7,CCR8,protein_coding,chr3,39328709,+,0
ENSG00000144659.13,SLC25A38,protein_coding,chr3,39382370,+,0
ENSG00000168028.14,RPSA,protein_coding,chr3,39405716,+,5
ENSG00000286996.1,AC099332.2,lncRNA,chr3,39419644,+,0
ENSG00000286781.1,AC099332.1,lncRNA,chr3,39447038,-,1
ENSG00000168314.17,MOBP,protein_coding,chr3,39466198,+,0
ENSG00000285885.1,AC092058.1,lncRNA,chr3,39501568,-,0
ENSG00000170011.14,MYRIP,protein_coding,chr3,39807914,+,1
ENSG00000280739.3,EIF1B-AS1,lncRNA,chr3,40308699,-,3
ENSG00000114784.4,EIF1B,protein_coding,chr3,40308707,+,7
ENSG00000223797.6,ENTPD3-AS1,lncRNA,chr3,40452330,-,1
ENSG00000168032.10,ENTPD3,protein_coding,chr3,40386184,+,0
ENSG00000188846.14,RPL14,protein_coding,chr3,40456292,+,4
ENSG00000177873.14,ZNF619,protein_coding,chr3,40476113,+,4
ENSG00000177842.12,ZNF620,protein_coding,chr3,40476131,+,4
ENSG00000172888.12,ZNF621,protein_coding,chr3,40523878,+,6
ENSG00000226302.1,AC122683.1,lncRNA,chr3,40604428,-,0
ENSG00000231873.2,AC099560.1,lncRNA,chr3,40718859,+,3
ENSG00000287415.1,AC099541.2,lncRNA,chr3,40868548,+,1
ENSG00000233096.1,AC099541.1,lncRNA,chr3,40970579,-,0
ENSG00000233919.1,AC009743.1,lncRNA,chr3,41167548,-,0
ENSG00000168036.18,CTNNB1,protein_coding,chr3,41193741,+,0
ENSG00000168038.11,ULK4,protein_coding,chr3,41961131,-,2
ENSG00000182606.16,TRAK1,protein_coding,chr3,42012802,+,3
ENSG00000187094.12,CCK,protein_coding,chr3,42265186,-,0
ENSG00000281160.1,AC018358.1,lncRNA,chr3,42263989,+,0
ENSG00000157093.9,LYZL4,protein_coding,chr3,42409611,-,0
ENSG00000114812.13,VIPR1,protein_coding,chr3,42488299,+,0
ENSG00000232354.8,VIPR1-AS1,lncRNA,chr3,42532259,-,0
ENSG00000093183.14,SEC22C,protein_coding,chr3,42600081,-,2
ENSG00000008324.11,SS18L2,protein_coding,chr3,42580840,+,5
ENSG00000114857.18,NKTR,protein_coding,chr3,42599655,+,6
ENSG00000230084.6,AC006059.1,lncRNA,chr3,42653389,-,1
ENSG00000114853.14,ZBTB47,protein_coding,chr3,42652697,+,6
ENSG00000287629.1,AC006059.5,lncRNA,chr3,42682794,-,0
ENSG00000157119.12,KLHL40,protein_coding,chr3,42684537,+,0
ENSG00000010282.15,HHATL,protein_coding,chr3,42701825,-,0
ENSG00000285539.1,AC006059.3,lncRNA,chr3,42731923,-,2
ENSG00000230970.4,HHATL-AS1,lncRNA,chr3,42701541,+,2
ENSG00000244607.7,CCDC13,protein_coding,chr3,42772254,-,0
ENSG00000280571.2,AC006059.2,protein_coding,chr3,42803519,-,1
ENSG00000287417.1,AC006059.4,lncRNA,chr3,42718401,+,0
ENSG00000173811.11,CCDC13-AS1,lncRNA,chr3,42731575,+,6
ENSG00000225611.1,LINC02158,lncRNA,chr3,42769612,+,0
ENSG00000181061.13,HIGD1A,protein_coding,chr3,42803532,-,1
ENSG00000235288.3,AC099329.1,lncRNA,chr3,42851429,-,0
ENSG00000144648.16,ACKR2,protein_coding,chr3,42803752,+,5
ENSG00000273328.5,AC099329.2,lncRNA,chr3,42808414,+,0
ENSG00000273291.5,AC092042.3,protein_coding,chr3,42808446,+,0
ENSG00000240747.7,KRBOX1,protein_coding,chr3,42808483,+,0
ENSG00000180432.6,CYP8B1,protein_coding,chr3,42874899,-,0
ENSG00000182983.15,ZNF662,protein_coding,chr3,42905142,+,0
ENSG00000206552.4,KRBOX1-AS1,lncRNA,chr3,42935786,-,0
ENSG00000144649.9,GASK1A,protein_coding,chr3,42978267,+,0
ENSG00000144647.6,POMGNT2,protein_coding,chr3,43105080,-,0
ENSG00000227245.1,AC092042.1,lncRNA,chr3,43086479,+,1
ENSG00000285766.1,AC092042.4,lncRNA,chr3,43087236,+,1
ENSG00000163788.14,SNRK,protein_coding,chr3,43285512,+,4
ENSG00000234617.2,SNRK-AS1,lncRNA,chr3,43351153,-,0
ENSG00000160746.13,ANO10,protein_coding,chr3,43690595,-,2
ENSG00000011198.10,ABHD5,protein_coding,chr3,43689108,+,6
ENSG00000235886.1,AC006055.1,lncRNA,chr3,43778983,-,0
ENSG00000271192.1,AC006058.2,lncRNA,chr3,43995896,+,1
ENSG00000272121.1,AC006058.3,lncRNA,chr3,43998150,-,0
ENSG00000261786.1,AC006058.1,lncRNA,chr3,44116299,+,0
ENSG00000173769.4,TOPAZ1,protein_coding,chr3,44240886,+,0
ENSG00000271937.1,AC104187.1,lncRNA,chr3,44337553,-,1
ENSG00000179152.20,TCAIM,protein_coding,chr3,44337119,+,5
ENSG00000283036.3,LINC01988,lncRNA,chr3,44423134,+,1
ENSG00000185219.17,ZNF445,protein_coding,chr3,44476671,-,0
ENSG00000178917.16,ZNF852,protein_coding,chr3,44509637,-,0
ENSG00000196345.13,ZKSCAN7,protein_coding,chr3,44554193,+,0
ENSG00000236869.1,ZKSCAN7-AS1,lncRNA,chr3,44684654,-,0
ENSG00000144792.9,ZNF660,protein_coding,chr3,44577223,+,0
ENSG00000186448.15,ZNF197,protein_coding,chr3,44583888,+,0
ENSG00000233509.2,ZNF197-AS1,lncRNA,chr3,44623798,-,0
ENSG00000169981.11,ZNF35,protein_coding,chr3,44647732,+,0
ENSG00000272077.1,AC124045.1,lncRNA,chr3,44666412,+,0
ENSG00000196653.12,ZNF502,protein_coding,chr3,44711643,+,0
ENSG00000186446.12,ZNF501,protein_coding,chr3,44728596,+,0
ENSG00000163807.6,KIAA1143,protein_coding,chr3,44760620,-,0
ENSG00000163808.17,KIF15,protein_coding,chr3,44760721,+,0
ENSG00000169964.8,TMEM42,protein_coding,chr3,44860904,+,0
ENSG00000163810.12,TGM4,protein_coding,chr3,44873608,+,0
ENSG00000235845.1,AC098649.1,lncRNA,chr3,44898178,+,0
ENSG00000163812.15,ZDHHC3,protein_coding,chr3,44975186,-,1
ENSG00000075914.13,EXOSC7,protein_coding,chr3,44974241,+,5
ENSG00000163815.6,CLEC3B,protein_coding,chr3,45000548,+,1
ENSG00000163814.8,CDCP1,protein_coding,chr3,45145423,-,0
ENSG00000249992.2,TMEM158,protein_coding,chr3,45225288,-,0
ENSG00000011376.12,LARS2,protein_coding,chr3,45387561,+,4
ENSG00000232455.2,LARS2-AS1,lncRNA,chr3,45508546,-,0
ENSG00000144791.10,LIMD1,protein_coding,chr3,45554394,+,0
ENSG00000230530.2,LIMD1-AS1,lncRNA,chr3,45688201,-,2
ENSG00000211456.12,SACM1L,protein_coding,chr3,45688056,+,6
ENSG00000163817.16,SLC6A20,protein_coding,chr3,45795537,-,0
ENSG00000163818.17,LZTFL1,protein_coding,chr3,45915043,-,0
ENSG00000285788.1,AC099782.2,lncRNA,chr3,45841265,+,5
ENSG00000173585.16,CCR9,protein_coding,chr3,45885504,+,0
ENSG00000163820.15,FYCO1,protein_coding,chr3,45994825,-,1
ENSG00000172215.6,CXCR6,protein_coding,chr3,45939933,+,0
ENSG00000173578.7,XCR1,protein_coding,chr3,46026743,-,0
ENSG00000183625.15,CCR3,protein_coding,chr3,46162604,+,1
ENSG00000163823.4,CCR1,protein_coding,chr3,46207314,-,2
ENSG00000121807.5,CCR2,protein_coding,chr3,46352734,+,0
ENSG00000223552.1,CCR5AS,lncRNA,chr3,46406060,-,0
ENSG00000160791.13,CCR5,protein_coding,chr3,46369854,+,0
ENSG00000121797.10,CCRL2,protein_coding,chr3,46406166,+,0
ENSG00000283646.2,LINC02009,lncRNA,chr3,46422592,-,0
ENSG00000012223.13,LTF,protein_coding,chr3,46484235,-,0
ENSG00000163825.4,RTP3,protein_coding,chr3,46496976,+,2
ENSG00000163827.13,LRRC2,protein_coding,chr3,46579100,-,0
ENSG00000268324.2,LRRC2-AS1,lncRNA,chr3,46556398,+,3
ENSG00000241186.10,TDGF1,protein_coding,chr3,46573534,+,3
ENSG00000283877.1,AC104304.2,protein_coding,chr3,46580150,+,0
ENSG00000283473.4,FAM240A,protein_coding,chr3,46611435,+,0
ENSG00000286570.1,AC104304.3,lncRNA,chr3,46660508,-,0
ENSG00000178038.17,ALS2CL,protein_coding,chr3,46692705,-,0
